ID,NAME,STARTYEAR,ENDYEAR,POS,HT,WT,BIRTHDATE,COLLEGE
103,Wesley Matthews,2010,2018,G,6-5,220,October 14, 1986,Marquette University
104,Ariel Maughan,1947,1951,F,6-4,190,February 23, 1923,Utah State University
105,Marlon Maxey,1993,1994,F,6-8,250,February 19, 1969,University of Minnesota, University of Texas at El Paso
106,Jason Maxiell,2006,2015,F,6-7,260,February 18, 1983,University of Cincinnati
107,Cedric Maxwell,1978,1988,F,6-8,205,November 21, 1955,University of North Carolina at Charlotte
108,Vernon Maxwell,1989,2001,G,6-4,180,September 12, 1965,University of Florida
109,Don May,1969,1975,F,6-4,200,January 3, 1946,University of Dayton
110,Scott May,1977,1983,F,6-7,215,March 19, 1954,Indiana University
111,Sean May,2006,2010,F,6-9,266,April 4, 1984,University of North Carolina
112,Lee Mayberry,1993,1999,G,6-1,172,June 12, 1970,University of Arkansas
113,Clyde Mayes,1976,1977,F,6-8,225,March 17, 1953,Furman University
114,Tharon Mayes,1992,1992,G,6-3,175,September 9, 1968,Florida State University
115,Bill Mayfield,1981,1981,F,6-7,205,October 17, 1957,University of Iowa
116,Ken Mayfield,1976,1976,G,6-2,185,May 11, 1948,Tuskegee University
117,Eric Maynor,2010,2014,G,6-3,175,June 11, 1987,Virginia Commonwealth University
118,O.J. Mayo,2009,2016,G,6-5,210,November 5, 1987,University of Southern California
119,Travis Mays,1991,1993,G,6-2,190,June 19, 1968,University of Texas at Austin
120,Matt Mazza,1950,1950,F,6-3,210,September 23, 1923,Michigan State University
121,Luc Mbah a Moute,2009,2018,F,6-8,230,September 9, 1986,University of California, Los Angeles
122,Bob McAdoo*,1973,1986,C-F,6-9,210,September 25, 1951,University of North Carolina
123,James Michael McAdoo,2015,2018,F,6-9,230,January 4, 1993,University of North Carolina
124,Ken McBride,1955,1955,G-F,6-3,190,,University of Maryland Eastern Shore
125,Ray McCallum,2014,2016,G,6-3,190,June 12, 1991,University of Detroit Mercy
126,Bob McCann,1990,1998,F,6-6,244,April 22, 1964,Upsala College, Morehead State University
127,Brendan McCann,1958,1960,G,6-2,178,July 5, 1935,St. Bonaventure University
128,Mel McCants,1990,1990,F,6-8,240,August 19, 1967,Purdue University
129,Rashad McCants,2006,2009,G,6-4,207,September 25, 1984,University of North Carolina
130,Mike McCarron,1947,1950,G,5-11,180,March 2, 1922,Seton Hall University
131,Andre McCarter,1977,1981,G,6-3,190,August 25, 1953,University of California, Los Angeles
132,Willie McCarter,1970,1972,G,6-3,175,July 26, 1946,Drake University
133,Johnny McCarthy,1957,1964,G,6-1,185,April 25, 1934,Canisius College
134,Howie McCarty,1947,1947,F-G,6-2,190,,Wayne State University
135,Kelly McCarty,1999,1999,G-F,6-7,200,August 24, 1975,University of Southern Mississippi
136,Walter McCarty,1997,2006,F,6-10,230,February 1, 1974,University of Kentucky
137,Amal McCaskill,1997,2004,F-C,6-11,235,October 28, 1973,Marquette University
138,Patrick McCaw,2017,2018,G,6-7,185,October 25, 1995,University of Nevada, Las Vegas
139,Dwayne McClain,1986,1986,G,6-6,185,February 7, 1963,Villanova University
140,Ted McClain,1972,1979,G,6-1,180,August 30, 1946,Tennessee State University
141,Dan McClintock,2001,2001,C,7-0,270,April 19, 1977,Northern Arizona University
142,Jack McCloskey,1953,1953,G,6-2,190,September 19, 1925,University of Pennsylvania
143,George McCloud,1990,2002,G-F,6-6,205,May 27, 1967,Florida State University
144,CJ McCollum,2014,2018,G,6-3,190,September 19, 1991,Lehigh University
145,John McConathy,1952,1952,F,6-5,195,April 9, 1930,Northwestern State University
146,Bucky McConnell,1953,1953,G,5-10,170,July 1, 1928,Marshall University
147,T.J. McConnell,2016,2018,G,6-2,200,March 25, 1992,Duquesne University, University of Arizona
148,Keith McCord,1981,1981,G,6-7,210,June 22, 1957,University of Alabama, University of Alabama at Birmingham
149,Tim McCormick,1985,1992,C,6-11,240,March 10, 1962,University of Michigan
150,Jelani McCoy,1999,2008,C,6-10,245,December 6, 1977,University of California, Los Angeles
151,Paul McCracken,1973,1977,G,6-4,180,September 11, 1950,California State University, Northridge
152,Chris McCray,2007,2007,G,6-5,192,May 27, 1984,University of Maryland
153,Rodney McCray,1984,1993,F-G,6-7,220,August 29, 1961,University of Louisville
154,Scooter McCray,1984,1987,F-G,6-9,215,February 8, 1960,University of Louisville
155,Erik McCree,2018,2018,F,6-8,225,December 20, 1993,Louisiana Tech University
156,Chris McCullough,2016,2018,F,6-11,200,February 5, 1995,Syracuse University
157,John McCullough,1982,1982,G,6-4,190,October 5, 1956,University of Oklahoma
158,Clint McDaniel,1996,1996,G,6-4,180,February 26, 1972,University of Arkansas
159,Xavier McDaniel,1986,1998,F,6-7,205,June 4, 1963,Wichita State University
160,Jim McDaniels,1972,1978,C-F,6-11,228,April 2, 1948,Western Kentucky University
161,K.J. McDaniels,2015,2017,G-F,6-6,205,February 9, 1993,Clemson University
162,Doug McDermott,2015,2018,F,6-8,225,January 3, 1992,Creighton University
163,Ben McDonald,1986,1989,F,6-8,210,July 20, 1962,University of California, Irvine
164,Glenn McDonald,1975,1977,F-G,6-6,190,March 18, 1952,California State University, Long Beach
165,Michael McDonald,1998,1998,C,6-10,232,February 13, 1969,Utah Valley State College, University of New Orleans
166,Roderick McDonald,1971,1973,F,6-6,205,April 9, 1945,Whitworth
167,Hank McDowell,1982,1987,F-C,6-9,215,November 13, 1959,University of Memphis
168,Antonio McDyess,1996,2011,F-C,6-9,220,September 7, 1974,University of Alabama
169,Jim McElroy,1976,1982,G,6-3,190,October 4, 1953,Central Michigan University
170,Patrick McFarland,1974,1976,F-G,6-5,185,December 7, 1951,Saint Joseph's University
171,Ivan McFarlin,2007,2007,F,6-8,240,April 26, 1982,Oklahoma State University
172,Mel McGaha,1949,1949,G,6-1,190,September 26, 1926,University of Arkansas
173,Mitch McGary,2015,2016,F-C,6-10,255,June 6, 1992,University of Michigan
174,JaVale McGee,2009,2018,C,7-0,270,January 19, 1988,University of Nevada, Reno
175,Mike McGee,1982,1990,G-F,6-5,190,July 29, 1959,University of Michigan
176,Bill McGill,1963,1970,C-F,6-9,225,September 16, 1939,University of Utah
177,George McGinnis*,1972,1982,F-C,6-8,235,August 12, 1950,Indiana University
178,Jon McGlocklin,1966,1976,G-F,6-5,205,June 10, 1943,Indiana University
179,Tracy McGrady*,1998,2012,F-G,6-8,210,May 24, 1979,
180,Gil McGregor,1972,1972,F,6-8,240,June 14, 1949,Wake Forest University
181,Elton McGriff,1968,1969,C,6-9,225,August 21, 1942,Creighton University
182,Rodney McGruder,2017,2018,G,6-4,205,July 29, 1991,Kansas State University
183,Alfred McGuire*,1952,1955,G-F,6-2,180,September 7, 1928,St. John's University
184,Allie McGuire,1974,1974,G,6-3,175,July 10, 1951,Marquette University
185,Dick McGuire*,1950,1960,G,6-0,180,January 25, 1926,St. John's University
186,Dominic McGuire,2008,2013,F,6-9,220,October 20, 1985,University of California, California State University, Fresno
187,Kevin McHale*,1981,1993,F-C,6-10,210,December 19, 1957,University of Minnesota
188,Maurice McHartley,1968,1970,G-F,6-3,185,August 1, 1942,North Carolina Agricultural and Technical State University
189,Jim McIlvaine,1995,2001,C,7-1,240,July 30, 1972,Marquette University
190,Jeff McInnis,1997,2008,G,6-4,190,October 22, 1974,University of North Carolina
191,Kenny McIntosh,1972,1975,F,6-7,225,January 21, 1949,Eastern Michigan University
192,Bob McIntyre,1968,1970,F,6-6,215,January 23, 1944,St. John's University
193,Jerry McKee,1970,1970,G,6-3,190,August 4, 1946,Ohio University
194,Kevin McKenna,1982,1988,G-F,6-5,195,January 8, 1959,Creighton University
195,Forrest McKenzie,1987,1987,F,6-7,200,February 16, 1963,Loyola Marymount University
196,Stan McKenzie,1968,1974,F-G,6-5,195,October 6, 1944,New York University
197,Derrick McKey,1988,2002,F-C,6-9,205,October 10, 1966,University of Alabama
198,Aaron McKie,1995,2007,G,6-5,209,October 2, 1972,Temple University
199,Billy McKinney,1979,1986,G,6-0,160,June 5, 1955,Northwestern University
200,Bones McKinney,1947,1952,F-C,6-6,185,January 1, 1919,University of North Carolina
201,Carlton McKinney,1990,1992,G,6-4,190,October 21, 1964,University of Tulsa, Southern Methodist University
202,Trey McKinney-Jones,2018,2018,G,6-5,214,August 27, 1990,University of Miami
203,Alfonzo McKinnie,2018,2018,F,6-8,215,September 17, 1992,University of Wisconsin-Green Bay
204,Ben McLemore,2014,2018,G,6-5,195,February 11, 1993,University of Kansas
205,McCoy McLemore,1965,1972,F-C,6-7,230,April 3, 1942,Drake University
206,George McLeod,1953,1953,F,6-5,200,January 3, 1931,Texas Christian University
207,Keith McLeod,2004,2007,G,6-2,188,November 5, 1979,Bowling Green State University
208,Roshown McLeod,1999,2001,F,6-8,221,November 17, 1975,St. John's University, Duke University
209,Jack McMahon,1953,1960,G,6-1,185,December 3, 1928,St. John's University
210,Nate McMillan,1987,1998,G-F,6-5,195,August 3, 1964,North Carolina State University
211,Tom McMillen,1976,1986,F-C,6-11,215,May 26, 1952,University of Maryland
212,Jim McMillian,1971,1979,F,6-5,215,March 11, 1948,Columbia University
213,Shellie McMillon,1959,1962,F,6-5,205,March 11, 1936,Bradley University
214,Mal McMullen,1950,1951,F-C,6-5,210,August 23, 1927,Xavier University
215,Chet McNabb,1948,1948,F,6-2,200,September 19, 1920,Arizona State University
216,Mark McNamara,1983,1991,C-F,6-11,235,June 8, 1959,Santa Clara University, University of California
217,Joe McNamee,1951,1952,F-C,6-6,210,September 24, 1926,University of San Francisco
218,Jerel McNeal,2015,2015,G,6-3,200,June 1, 1987,Marquette University
219,Chris McNealy,1986,1988,F,6-7,210,July 15, 1961,San Jose State University
220,Bob McNeill,1961,1962,G,6-1,170,October 22, 1938,Saint Joseph's University
221,Larry McNeill,1974,1979,F-C,6-9,195,January 31, 1951,Marquette University
222,Carl McNulty,1955,1955,G,6-3,185,February 14, 1930,Purdue University
223,Paul McPherson,2001,2001,G,6-4,210,July 3, 1978,DePaul University
224,Roy McPipe,1975,1975,G,6-3,205,May 5, 1950,Montana State University, Billings
225,Cozell McQueen,1987,1987,F,6-11,235,January 18, 1962,North Carolina State University
226,Jordan McRae,2016,2017,G,6-6,185,March 28, 1991,University of Tennessee
227,Thales McReynolds,1966,1966,G,6-3,185,June 8, 1943,Miles College
228,Josh McRoberts,2008,2018,F,6-10,240,February 28, 1987,Duke University
229,Eric McWilliams,1973,1973,F,6-8,200,April 18, 1950,California State University, Long Beach
230,George Mearns,1947,1948,F,6-3,175,April 18, 1922,University of Rhode Island
231,Stanislav Medvedenko,2001,2007,F,6-10,250,April 4, 1979,
232,Darnell Mee,1994,1995,G,6-5,175,February 11, 1971,Western Kentucky University
233,Jodie Meeks,2010,2018,G,6-4,210,August 21, 1987,University of Kentucky
234,Cliff Meely,1972,1976,F-C,6-8,215,July 10, 1947,University of Colorado
235,Scott Meents,1990,1991,F,6-10,225,January 4, 1964,University of Illinois at Urbana-Champaign
236,Dick Mehen,1950,1952,F-C,6-5,195,May 20, 1922,University of Tennessee
237,Monk Meineke,1953,1958,F-C,6-7,208,October 30, 1930,University of Dayton
238,Carl Meinhold,1948,1949,G-F,6-2,185,March 29, 1926,Long Island University
239,Salah Mejri,2016,2018,C,7-1,245,June 15, 1986,
240,Gal Mekel,2014,2015,G,6-3,191,March 4, 1988,Wichita State University
241,Bill Melchionni,1967,1976,G,6-1,165,October 19, 1944,Villanova University
242,Gary Melchionni,1974,1975,G,6-2,185,January 19, 1951,Duke University
243,Fab Melo,2013,2013,C,7-0,255,June 20, 1990,Syracuse University
244,Ed Melvin,1947,1947,G,5-9,170,February 13, 1916,Duquesne University
245,Dean Meminger,1972,1977,G,6-0,175,May 13, 1948,Marquette University
246,Chuck Mencel,1956,1957,G,6-0,168,April 21, 1933,University of Minnesota
247,John Mengelt,1972,1981,G,6-2,195,October 16, 1949,Auburn University
248,Ken Menke,1950,1950,G,6-0,168,October 2, 1922,University of Illinois at Urbana-Champaign
249,Pops Mensah-Bonsu,2007,2011,F,6-9,240,September 7, 1983,George Washington University
250,Dewitt Menyard,1968,1968,C,6-10,210,May 24, 1944,University of Utah
251,Ron Mercer,1998,2005,G-F,6-7,210,May 18, 1976,University of Kentucky
252,Joe Meriweather,1976,1985,C-F,6-10,215,October 26, 1953,Southern Illinois University
253,Porter Meriwether,1963,1963,G,6-2,180,March 16, 1940,Tennessee State University
254,Tom Meschery,1962,1971,F,6-6,215,October 26, 1938,Saint Mary's College of California
255,Bill Meyer,1968,1968,G,6-3,195,August 30, 1943,Hiram College
256,Loren Meyer,1996,1999,C,6-10,257,December 30, 1972,Iowa State University
257,Dave Meyers,1976,1980,F-C,6-8,215,April 21, 1953,University of California, Los Angeles
258,Stan Miasek,1947,1953,C-F,6-5,210,September 19, 1923,
259,Larry Micheaux,1984,1985,F,6-9,220,March 24, 1960,University of Houston
260,Jordan Mickey,2016,2018,F,6-8,235,July 9, 1994,Louisiana State University
261,Khris Middleton,2013,2018,F-G,6-8,234,August 12, 1991,Texas A&M; University
262,Red Mihalik,1947,1947,G,6-0,180,September 22, 1916,
263,Chris Mihm,2001,2009,C,7-0,265,July 16, 1979,University of Texas at Austin
264,Ed Mikan,1949,1954,C-F,6-8,230,October 20, 1925,DePaul University
265,George Mikan*,1949,1956,C,6-10,245,June 18, 1924,DePaul University
266,Larry Mikan,1971,1971,F,6-7,210,April 8, 1948,University of Minnesota
267,Vern Mikkelsen*,1950,1959,F-C,6-7,230,October 21, 1928,Hamline University
268,Al Miksis,1950,1950,C,6-7,210,February 2, 1928,Western Illinois University
269,Aaron Miles,2006,2006,G,6-1,175,April 13, 1983,University of Kansas
270,C.J. Miles,2006,2018,G-F,6-6,225,April 18, 1987,
271,Darius Miles,2001,2009,F,6-9,210,October 9, 1981,
272,Eddie Miles,1964,1972,G-F,6-4,195,July 5, 1940,Seattle University
273,Marko Milic,1998,1999,G-F,6-6,235,May 7, 1977,
274,Darko Milicic,2004,2013,F-C,7-0,250,June 20, 1985,
275,Nat Militzok,1947,1947,F,6-3,195,May 3, 1923,Cornell University
276,Andre Miller,2000,2016,G,6-3,200,March 19, 1976,University of Utah
277,Anthony Miller,1995,2005,F,6-9,225,October 22, 1971,Michigan State University
278,Bill Miller,1949,1949,F,6-3,190,November 24, 1924,University of North Carolina
279,Bob Miller,1984,1984,F,6-10,230,July 9, 1956,University of Cincinnati
280,Brad Miller,1999,2012,C,6-11,244,April 12, 1976,Purdue University
281,Darius Miller,2013,2018,F,6-8,235,March 21, 1990,University of Kentucky
282,Dick Miller,1981,1981,F,6-6,215,April 26, 1958,University of Toledo
283,Eddie Miller,1953,1954,C-F,6-8,225,June 18, 1931,Syracuse University
284,Harry Miller,1947,1947,C-F,6-4,230,July 28, 1923,University of North Carolina
285,Jay Miller,1968,1971,F,6-5,205,July 19, 1943,University of Notre Dame
286,Larry Miller,1969,1975,G-F,6-4,190,April 4, 1946,University of North Carolina
287,Malcolm Miller,2018,2018,F,6-7,210,March 6, 1993,College of the Holy Cross
288,Mike Miller,2001,2017,F-G,6-8,218,February 19, 1980,University of Florida
289,Oliver Miller,1993,2004,C,6-9,280,April 6, 1970,University of Arkansas
290,Quincy Miller,2013,2015,F,6-9,210,November 18, 1992,Baylor University
291,Reggie Miller*,1988,2005,G-F,6-7,185,August 24, 1965,University of California, Los Angeles
292,Walt Miller,1947,1947,F,6-2,190,July 30, 1915,Duquesne University
293,Chris Mills,1994,2003,F,6-6,215,January 25, 1970,University of Kentucky, University of Arizona
294,John Mills,1947,1947,C-F,6-8,203,September 7, 1919,Western Kentucky University
295,Patty Mills,2010,2018,G,6-0,185,August 11, 1988,Saint Mary's College of California
296,Terry Mills,1991,2001,F,6-10,230,December 21, 1967,University of Michigan
297,Elijah Millsap,2015,2017,G-F,6-6,225,August 12, 1987,University of Louisiana at Lafayette, University of Alabama at Birmingham
298,Paul Millsap,2007,2018,F,6-8,246,February 10, 1985,Louisiana Tech University
299,Harold Miner,1993,1996,G,6-5,210,May 5, 1971,University of Southern California
300,Yao Ming*,2003,2011,C,7-6,310,September 12, 1980,
301,Dirk Minniefield,1986,1988,G,6-3,180,January 17, 1961,University of Kentucky
302,Dave Minor,1952,1953,G-F,6-2,185,February 23, 1922,University of California, Los Angeles
303,Greg Minor,1995,1999,G-F,6-6,210,September 18, 1971,University of Louisville
304,Mark Minor,1973,1973,F,6-6,215,May 14, 1950,Ohio State University
305,Nikola Mirotic,2015,2018,F,6-10,220,February 11, 1991,
306,Wat Misaka,1948,1948,G,5-7,150,December 21, 1923,University of Utah
307,Jason Miskiri,2000,2000,G,6-2,175,August 19, 1975,George Mason University
308,Donovan Mitchell,2018,2018,G,6-3,211,September 7, 1996,University of Louisville
309,Leland Mitchell,1968,1968,G,6-4,210,February 22, 1941,Mississippi State University
310,Mike Mitchell,1979,1988,F,6-7,215,January 1, 1956,Auburn University
311,Murray Mitchell,1950,1950,C,6-6,,March 19, 1923,Sam Houston State University
312,Sam Mitchell,1990,2002,F,6-6,210,September 2, 1963,Mercer University
313,Todd Mitchell,1989,1989,F,6-7,205,July 26, 1966,Purdue University
314,Tony Mitchell,2014,2014,F,6-6,216,August 7, 1989,University of Alabama
315,Tony Mitchell,2014,2014,F,6-8,235,April 7, 1992,University of North Texas
316,Naz Mitrou-Long,2018,2018,G,6-4,209,August 3, 1993,Iowa State University
317,Steve Mix,1970,1983,F,6-7,215,December 30, 1947,University of Toledo
318,Bill Mlkvy,1953,1953,F,6-4,190,January 19, 1931,Temple University
319,Cuttino Mobley,1999,2009,G,6-4,190,September 1, 1975,University of Rhode Island
320,Eric Mobley,1995,1997,C,6-11,235,February 1, 1970,University of Pittsburgh
321,Doug Moe,1968,1972,F-G,6-5,215,September 21, 1938,University of North Carolina
322,Larry Moffett,1978,1978,F,6-8,210,November 5, 1954,University of Nevada, Las Vegas
323,Leo Mogus,1947,1951,F-C,6-4,190,April 13, 1921,Youngstown State University
324,Nazr Mohammed,1999,2016,C,6-10,221,September 5, 1977,University of Kentucky
325,Jerome Moiso,2001,2005,F-C,6-10,235,June 15, 1978,University of California, Los Angeles
326,Paul Mokeski,1980,1991,C-F,7-0,250,January 3, 1957,University of Kansas
327,Jack Molinas,1954,1954,F,6-6,200,October 31, 1931,Columbia University
328,Wayne Molis,1967,1968,F,6-8,230,April 17, 1943,Lewis University
329,Sidney Moncrief,1980,1991,G,6-3,180,September 21, 1957,University of Arkansas
330,Eric Money,1975,1980,G,6-0,170,February 6, 1955,University of Arizona
